id,code,establishment_id,name
1,AG328,ACI,ACI-AG328
2,QP515,ACI,ACI-QP515
3,NA070,ACI,ACI-NA070
4,FQ013,ASI,ASI-FQ013
5,WC931,ASI,ASI-WC931
6,JG509,ASI,ASI-JG509
7,VF819,AGI,AGI-VF819
8,OJ813,AGI,AGI-OJ813
9,HL653,AYI,AYI-HL653
10,PG477,AYI,AYI-PG477
11,YD824,BFI,BFI-YD824
12,NT008,BAI,BAI-NT008
13,QY276,BAI,BAI-QY276
14,BD444,BAI,BAI-BD444
15,VE746,BWI,BWI-VE746
16,FN640,BMI,BMI-FN640
17,WE734,BMI,BMI-WE734
18,NN248,BSI,BSI-NN248
19,RC341,BSI,BSI-RC341
20,XV175,BSI,BSI-XV175
21,VO737,BLI,BLI-VO737
22,II389,BLI,BLI-II389
23,SL197,BLI,BLI-SL197
24,HV151,BXI,BXI-HV151
25,ZL169,BXI,BXI-ZL169
26,GB648,BXI,BXI-GB648
27,II151,BZI,BZI-II151
28,VK795,BZI,BZI-VK795
29,MF439,BCI,BCI-MF439
30,XB985,BCI,BCI-XB985
31,BY749,BNI,BNI-BY749
32,DV265,BNI,BNI-DV265
33,YM142,BRI,BRI-YM142
34,BK545,BRI,BRI-BK545
35,OD382,BRI,BRI-OD382
36,QW940,CFI,CFI-QW940
37,WB021,CFI,CFI-WB021
38,NS506,CWI,CWI-NS506
39,TR315,CDI,CDI-TR315
40,VW149,CDI,CDI-VW149
41,ER562,CDI,CDI-ER562
42,UO257,CLI,CLI-UO257
43,UX345,CKI,CKI-UX345
44,QW783,DAI,DAI-QW783
45,GF885,DTI,DTI-GF885
46,AD490,DTI,DTI-AD490
47,HL782,DNI,DNI-HL782
48,SB968,DNI,DNI-SB968
49,KH216,DNI,DNI-KH216
50,OE706,DGI,DGI-OE706
51,WT349,DGI,DGI-WT349
52,DZ873,DWI,DWI-DZ873
53,SJ901,DWI,DWI-SJ901
54,WG797,DHI,DHI-WG797
55,WG181,DHI,DHI-WG181
56,YH694,DHI,DHI-YH694
57,WR552,DMI,DMI-WR552
58,VJ470,DMI,DMI-VJ470
59,WD990,DMI,DMI-WD990
60,XC719,ESI,ESI-XC719
61,KX386,ESI,ESI-KX386
62,MF789,ESI,ESI-MF789
63,IE953,EWI,EWI-IE953
64,NP997,EWI,EWI-NP997
65,NJ247,EYI,EYI-NJ247
66,FV728,EEI,EEI-FV728
67,MV392,EEI,EEI-MV392
68,VU017,EXI,EXI-VU017
69,YY998,FSI,FSI-YY998
70,QH591,FSI,FSI-QH591
71,HC663,FMI,FMI-HC663
72,AM346,FYI,FYI-AM346
73,VC440,FWI,FWI-VC440
74,ST966,FDI,FDI-ST966
75,JW621,FDI,FDI-JW621
76,XO857,FBI,FBI-XO857
77,CZ796,FBI,FBI-CZ796
78,HV745,FBI,FBI-HV745
79,FA574,FEI,FEI-FA574
80,OF971,FHI,FHI-OF971
81,WU997,FHI,FHI-WU997
82,MK849,FHI,FHI-MK849
83,DC035,FKI,FKI-DC035
84,NQ638,FNI,FNI-NQ638
85,KB907,GHI,GHI-KB907
86,RU001,GTI,GTI-RU001
87,PI794,GTI,GTI-PI794
88,NH458,GTI,GTI-NH458
89,VE005,GNI,GNI-VE005
90,PJ028,GNI,GNI-PJ028
91,JP895,GNI,GNI-JP895
92,ME077,GMI,GMI-ME077
93,WC201,GMI,GMI-WC201
94,RP358,HDI,HDI-RP358
95,HE041,HDI,HDI-HE041
96,HY888,HVI,HVI-HY888
97,SO551,HEI,HEI-SO551
98,BJ964,HEI,HEI-BJ964
99,OU860,HOI,HOI-OU860
100,MN323,HOI,HOI-MN323
101,CH823,HOI,HOI-CH823
102,CU027,HPI,HPI-CU027
103,LG838,HPI,HPI-LG838
104,TU915,HII,HII-TU915
105,DN980,HII,HII-DN980
106,QO183,HBI,HBI-QO183
107,EJ153,HBI,HBI-EJ153
108,GD568,HHI,HHI-GD568
109,MN178,HLI,HLI-MN178
110,WN817,HLI,HLI-WN817
111,MG023,HMI,HMI-MG023
112,CE705,HMI,HMI-CE705
113,BB264,HMI,HMI-BB264
114,PO436,HCI,HCI-PO436
115,TH424,ISI,ISI-TH424
116,OU590,ISI,ISI-OU590
117,YL990,IWI,IWI-YL990
118,BN615,KMI,KMI-BN615
119,ZY697,KVI,KVI-ZY697
120,DX608,KVI,KVI-DX608
121,AA528,LFI,LFI-AA528
122,ZM956,LEI,LEI-ZM956
123,NO833,LEI,LEI-NO833
124,IN108,LCI,LCI-IN108
125,MJ852,LWI,LWI-MJ852
126,JV241,LWI,LWI-JV241
127,PL828,LYI,LYI-PL828
128,LT004,LYI,LYI-LT004
129,NT020,LYI,LYI-NT020
130,AZ105,LII,LII-AZ105
131,DL235,LHI,LHI-DL235
132,YY392,LHI,LHI-YY392
133,VZ352,LTI,LTI-VZ352
134,VE809,LTI,LTI-VE809
135,DB334,LPI,LPI-DB334
136,FH487,LPI,LPI-FH487
137,BF119,LLI,LLI-BF119
138,WV843,LLI,LLI-WV843
139,BQ708,LLI,LLI-BQ708
140,ID418,LNI,LNI-ID418
141,KA037,LNI,LNI-KA037
142,MT725,LGI,LGI-MT725
143,KF920,MSI,MSI-KF920
144,XS963,MSI,MSI-XS963
145,BV902,MRI,MRI-BV902
146,KC945,MDI,MDI-KC945
147,KH357,MDI,MDI-KH357
148,IB112,MHI,MHI-IB112
149,CP097,NHI,NHI-CP097
150,GQ377,NHI,NHI-GQ377
151,VQ124,NHI,NHI-VQ124
152,ZW709,NSI,NSI-ZW709
153,CN259,NSI,NSI-CN259
154,MF475,NLI,NLI-MF475
155,QF139,NLI,NLI-QF139
156,VX891,NWI,NWI-VX891
157,JT809,NWI,NWI-JT809
158,ZJ847,NMI,NMI-ZJ847
159,ZB573,NMI,NMI-ZB573
160,SZ889,OWI,OWI-SZ889
161,SF387,ONI,ONI-SF387
162,RM528,ONI,ONI-RM528
163,HE321,ONI,ONI-HE321
164,TJ887,PRI,PRI-TJ887
165,OB760,PRI,PRI-OB760
166,HW432,PVI,PVI-HW432
167,QT285,PVI,PVI-QT285
168,LK877,PVI,PVI-LK877
169,TY961,PFI,PFI-TY961
170,AM948,PBI,PBI-AM948
171,CV357,PBI,PBI-CV357
172,QG053,PDI,PDI-QG053
173,NC978,PDI,PDI-NC978
174,RT852,PDI,PDI-RT852
175,FO428,UPI,UPI-FO428
176,CM868,UPI,UPI-CM868
177,KC112,UPI,UPI-KC112
178,EP443,PNI,PNI-EP443
179,ID582,PNI,PNI-ID582
180,OV546,PNI,PNI-OV546
181,OJ135,RNI,RNI-OJ135
182,WU802,RNI,RNI-WU802
183,ZU265,RNI,RNI-ZU265
184,UV033,RSI,RSI-UV033
185,AM357,RSI,RSI-AM357
186,JS571,RCI,RCI-JS571
187,OY900,RCI,RCI-OY900
188,IT041,RHI,RHI-IT041
189,JO696,SDI,SDI-JO696
190,VT180,SDI,SDI-VT180
191,NF913,SPI,SPI-NF913
192,MZ832,SPI,SPI-MZ832
193,ZA160,SPI,SPI-ZA160
194,LH664,SFI,SFI-LH664
195,LJ288,EHI,EHI-LJ288
196,FB056,EHI,EHI-FB056
197,KB903,EHI,EHI-KB903
198,HK446,SKI,SKI-HK446
199,ZQ173,SKI,SKI-ZQ173
200,WR499,SKI,SKI-WR499
201,HR592,SHI,SHI-HR592
202,ZN910,SHI,SHI-ZN910
203,PT391,STI,STI-PT391
204,AA463,STI,STI-AA463
205,OP964,STI,STI-OP964
206,MB699,SUI,SUI-MB699
207,OV668,SUI,SUI-OV668
208,CQ262,SLI,SLI-CQ262
209,LL946,SLI,SLI-LL946
210,BW612,SWI,SWI-BW612
211,TG873,SNI,SNI-TG873
212,XQ278,SNI,SNI-XQ278
213,JO343,SNI,SNI-JO343
214,OQ843,TSI,TSI-OQ843
215,QI007,TSI,TSI-QI007
216,EY708,MTI,MTI-EY708
217,ZD128,MTI,MTI-ZD128
218,YS412,VEI,VEI-YS412
219,MA551,VEI,VEI-MA551
220,QQ592,VEI,VEI-QQ592
221,KB388,TCI,TCI-KB388
222,BV282,TCI,TCI-BV282
223,XT893,UKI,UKI-XT893
224,AJ231,UKI,UKI-AJ231
225,FS009,UKI,UKI-FS009
226,LI828,WDI,WDI-LI828
227,QH622,WWI,WWI-QH622
228,WS087,WWI,WWI-WS087
229,OS558,WWI,WWI-OS558
230,VD097,WII,WII-VD097
231,TN413,WII,WII-TN413
232,EU694,WII,WII-EU694
233,YB370,WLI,WLI-YB370
234,WU747,WLI,WLI-WU747
235,QB373,WLI,WLI-QB373
236,CU758,WEI,WEI-CU758
237,CA233,WNI,WNI-CA233
238,KV276,WNI,WNI-KV276
239,TV935,WNI,WNI-TV935
240,FE612,WYI,WYI-FE612
241,HV145,WYI,WYI-HV145
242,SU218,WTI,WTI-SU218
243,GG774,WRI,WRI-GG774
244,BR196,WCI,WCI-BR196
245,LK288,WCI,WCI-LK288
246,NQ975,WHI,WHI-NQ975
247,LS517,WSI,WSI-LS517
248,JX890,WSI,WSI-JX890
249,JI015,WSI,WSI-JI015
250,GM249,WMI,WMI-GM249
251,WZ647,693103,693103-WZ647
252,FF520,693103,693103-FF520
253,BG762,696575,696575-BG762
254,DI103,701109,701109-DI103
255,VS261,701109,701109-VS261
256,RO151,703230,703230-RO151
257,JL774,703230,703230-JL774
258,HJ846,705109,705109-HJ846
259,PL624,705670,705670-PL624
260,IJ164,705670,705670-IJ164
261,FA113,706931,706931-FA113
262,LK401,714662,714662-LK401
263,CW828,714662,714662-CW828
264,UZ804,714662,714662-UZ804
265,RV179,721844,721844-RV179
266,SY439,721844,721844-SY439
267,UW558,724559,724559-UW558
268,VV572,724559,724559-VV572
269,TH364,724648,724648-TH364
270,SR259,724648,724648-SR259
271,BW262,724648,724648-BW262
272,WI821,727642,727642-WI821
273,DY976,735096,735096-DY976
274,TR868,735096,735096-TR868
275,FW549,735096,735096-FW549
276,FC859,739917,739917-FC859
277,VE900,754134,754134-VE900
278,GD227,754134,754134-GD227
279,RX736,754134,754134-RX736
280,JB992,754990,754990-JB992
281,NJ368,761287,761287-NJ368
282,HF746,770452,770452-HF746
283,CB610,776185,776185-CB610
284,GR179,778998,778998-GR179
285,TM097,778998,778998-TM097
286,LZ510,778998,778998-LZ510
287,HQ747,781940,781940-HQ747
288,XL168,781940,781940-XL168
289,EL082,781940,781940-EL082
290,QM548,795760,795760-QM548
291,IU611,796120,796120-IU611
292,EQ657,796120,796120-EQ657
293,VZ617,796120,796120-VZ617
294,LC694,AAAAA1,AAAAA1-LC694
295,ZE215,AAAAA1,AAAAA1-ZE215
296,UU716,AAAAA1,AAAAA1-UU716
297,JN230,AAAMH1,AAAMH1-JN230
298,PS588,AAAMH2,AAAMH2-PS588
299,TJ580,AAAMH2,AAAMH2-TJ580
300,RN041,AAAMH3,AAAMH3-RN041
301,MW707,AAAMH3,AAAMH3-MW707
302,EW467,AAAMH5,AAAMH5-EW467
303,LF910,AAAMH5,AAAMH5-LF910
304,VD292,ABDALE,ABDALE-VD292
305,ZY366,ABDRCT,ABDRCT-ZY366
306,FI813,ABDRMC,ABDRMC-FI813
307,DD217,ABDRMC,ABDRMC-DD217
