id,prisoner,date,time,direction,type,origin_code,origin,destination_code,destination,reason
1129271.1,1129271,2018-09-30 00:00:00,2018-09-30 13:33:20,OUT,TRN,FHI,Foston Hall,WHI,Woodhill,Medical Transfer
1129271.2,1129271,2018-10-06 00:00:00,2018-10-06 10:44:00,IN,ADM,ASP011,Yeovil Probation Centre,ASHWTH,Ashworth Hospital,Immigration Admission
1175081.1,1175081,2019-07-11 00:00:00,2019-07-11 02:12:42,OUT,ADM,ASP005,North Bristol Probation Centre,FEI,Fosse Way,Immigration Admission
1175081.2,1175081,2018-12-16 00:00:00,2018-12-16 01:25:29,IN,CRT,CWI,Channings Wood,MTI,The Mount,Court Appearance
1175081.3,1175081,2020-08-31 00:00:00,2020-08-31 17:54:50,IN,ADM,NULL,,NHI,New Hall,Immigration Admission
1191472.1,1191472,2023-10-08 00:00:00,2023-10-08 16:33:48,IN,REL,ASHFMC,Ashford Mc,HBI,Hollesley Bay,End of Sentence
1191472.2,1191472,2022-02-13 00:00:00,2022-02-13 05:47:48,OUT,ADM,SHI,Stoke Heath,ASP015,Bath Prolific Offender Unit,Immigration Admission
1165841.1,1165841,2023-02-02 00:00:00,2023-02-02 06:12:01,OUT,REL,UNKNWN,UNKNOWN LOCATION,LHI,Lindholme,Release on License
1134343.1,1134343,2023-03-03 00:00:00,2023-03-03 05:40:20,OUT,REL,PNI,Preston,UNKNWN,UNKNOWN LOCATION,Release to Immigration
1134343.2,1134343,2021-07-15 00:00:00,2021-07-15 21:33:52,IN,ADM,RHI,Rye Hill,AKI,Acklington (HMP),Immigration Admission
1134343.3,1134343,2022-08-02 00:00:00,2022-08-02 16:05:15,IN,TRN,UNKNWN,UNKNOWN LOCATION,NULL,,Category Change
1113808.1,1113808,2018-03-24 00:00:00,2018-03-24 08:06:00,IN,CRT,ASP004,Bristol Probation Centre,NULL,,Remand Hearing
1113808.2,1113808,2019-06-26 00:00:00,2019-06-26 00:09:42,OUT,TAP,WTI,Whatton,KMI,Kirkham,Temporary Transfer
